Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.123
7, 1.57, 0.56, 0.00, 0.04, 18.15, 1.633
10, 3.35, 1.06, 0.00, 0.04, 25.72, 1.307
13, 5.30, 1.49, 0.00, 2.96, 33.29, 0.685
16, 6.73, 1.70, 0.00, 8.14, 40.87, 1.205
19, 7.46, 1.74, 0.00, 14.71, 48.44, 0.502
22, 7.99, 1.77, 0.00, 19.93, 56.01, 1.014
25, 8.43, 1.81, 0.00, 23.82, 63.58, 0.701
28, 8.96, 1.87, 0.00, 31.01, 71.15, 0.506
31, 13.59, 3.17, 0.00, 45.07, 78.73, 0.198
34, 9.35, 1.90, 0.00, 62.80, 86.30, 0.031
37, 17.56, 4.08, 0.00, 65.80, 93.87, 0.014